"Product","Blackbox flight data recorder by Nicholas Sherlock"
"firmwareType",3
"firmware","2026.6"
"firmwarePatch",0
"firmwareVersion","2026.6.0"
"Firmware revision","Betaflight 2026.6.0-alpha (norevision) STM32G47X"
"Firmware date","Jan 10 2026 01:13:28"
"deviceUID","003a00253334500920383253"
"Board information","BEFH BETAFPVG473"
"Log start datetime","0000-01-01T00:00:00.000+00:00"
"Craft name","APERTURE"
"frameIntervalI",128
"frameIntervalPNum",1
"frameIntervalPDenom",4
"maxthrottle",2000
"gyroScale",1.7453292519943295e-8
"motorOutput","158,2047"
"acc_1G",2048
"vbatscale",110
"vbatmincellvoltage",310
"vbatwarningcellvoltage",330
"vbatmaxcellvoltage",430
"vbatref",393
"currentMeterOffset",-600
"currentMeterScale",750
"looptime",125
"gyro_sync_denom",1
"pid_process_denom",2
"thrMid",50
"thrExpo",0
"tpa_mode",1
"tpa_rate",65
"tpa_breakpoint",1350
"tpa_low_rate",20
"tpa_low_breakpoint",1050
"tpa_low_always",0
"mixer_type","LEGACY"
"rc_rates","30,30,30"
"rc_expo","50,50,50"
"rates","75,75,75"
"rate_limits","1998,1998,1998"
"rollPID","45,80,30,40,120"
"pitchPID","47,84,34,46,125"
"yawPID","45,80,0,0,120"
"levelPID","50,75,75"
"magPID","40,,"
"d_max_gain",37
"d_max_advance",20
"dterm_filter_type",0
"dterm_lpf_hz",75
"dterm_lpf_dyn_hz","75,150"
"dterm_lpf_dyn_expo",5
"dterm_filter2_type",0
"dterm_lpf2_hz",150
"yaw_lpf_hz",100
"dterm_notch_hz",0
"dterm_notch_cutoff",0
"itermWindupPointPercent",80
"iterm_relax",1
"iterm_relax_type",1
"iterm_relax_cutoff",15
"pidAtMinThrottle",1
"anti_gravity_gain",80
"anti_gravity_cutoff_hz",5
"anti_gravity_p_gain",100
"abs_control_gain",0
"use_integrated_yaw",0
"ff_transition",0
"ff_averaging",1
"ff_smooth_factor",65
"ff_jitter_factor",7
"ff_boost",15
"ff_max_rate_limit",90
"yawRateAccelLimit",0
"rateAccelLimit",0
"pidSumLimit",500
"pidSumLimitYaw",400
"deadband",0
"yaw_deadband",0
"gyro_lpf",0
"gyro_soft_type",0
"gyro_lowpass_hz",0
"gyro_lowpass_dyn_hz","250,500"
"gyro_lowpass_dyn_expo",5
"gyro_soft2_type",0
"gyro_lowpass2_hz",500
"gyro_notch_hz","0,0"
"gyro_notch_cutoff","0,0"
"gyro_enabled_bitmask",1
"dyn_notch_max_hz",600
"dyn_notch_count",3
"dyn_notch_q",300
"dyn_notch_min_hz",100
"dshot_bidir",1
"motor_poles",14
"gyro_rpm_notch_harmonics",3
"gyro_rpm_notch_q",500
"gyro_rpm_notch_min",100
"rpm_filter_fade_range_hz",50
"rpm_notch_lpf",150
"acc_lpf_hz",2500
"acc_hardware",0
"gyro_cal_on_first_arm",0
"airmode_activate_throttle",25
"serialrx_provider",9
"unsynced_fast_pwm",0
"fast_pwm_protocol",6
"motor_pwm_rate",480
"motor_idle",550
"debug_mode",100
"features",272892936
"rc_smoothing_mode",1
"rc_smoothing_auto_factor_setpoint",30
"rc_smoothing_auto_factor_throttle",30
"rc_smoothing_setpoint_hz",0
"rc_smoothing_throttle_hz",0
"rc_smoothing_debug_axis",0
"rc_smoothing_active_cutoffs_ff_sp_thr","188,188"
"rc_smoothing_rx_smoothed",501
"rates_type",3
"fields_disabled_mask",33024
"blackbox_high_resolution",0
"vbat_sag_compensation",0
"dynamic_idle_min_rpm",0
"dyn_idle_p_gain",50
"dyn_idle_i_gain",50
"dyn_idle_d_gain",50
"dyn_idle_max_increase",150
"simplified_pids_mode",2
"simplified_master_multiplier",100
"simplified_i_gain",100
"simplified_d_gain",100
"simplified_pi_gain",100
"simplified_d_max_gain",100
"simplified_feedforward_gain",100
"simplified_pitch_d_gain",100
"simplified_pitch_pi_gain",100
"simplified_dterm_filter",1
"simplified_dterm_filter_multiplier",100
"simplified_gyro_filter",1
"simplified_gyro_filter_multiplier",100
"motor_output_limit",100
"throttle_limit_type",0
"throttle_limit_percent",100
"throttle_boost",5
"throttle_boost_cutoff",15
"thrust_linear",0
"loopIteration","time","axisP[0]","axisP[1]","axisP[2]","axisI[0]","axisI[1]","axisI[2]","axisD[0]","axisD[1]","axisF[0]","axisF[1]","axisF[2]","rcCommand[0]","rcCommand[1]","rcCommand[2]","rcCommand[3]","setpoint[0]","setpoint[1]","setpoint[2]","setpoint[3]","vbatLatest","amperageLatest","rssi","gyroADC[0]","gyroADC[1]","gyroADC[2]","gyroUnfilt[0]","gyroUnfilt[1]","gyroUnfilt[2]","accSmooth[0]","accSmooth[1]","accSmooth[2]","debug[0]","debug[1]","debug[2]","debug[3]","debug[4]","debug[5]","debug[6]","debug[7]","motor[0]","motor[1]","motor[2]","motor[3]","eRPM[0]","eRPM[1]","eRPM[2]","eRPM[3]","flightModeFlags","stateFlags","failsafePhase","rxSignalReceived","rxFlightChannelsValid","heading[0]","heading[1]","heading[2]","axisSum[0]","axisSum[1]","axisSum[2]","rcCommands[0]","rcCommands[1]","rcCommands[2]","rcCommands[3]","axisError[0]","axisError[1]","axisError[2]"
0,16015892,1,-1,-2,0,0,0,0,-2,0,0,0,1,1,-3,1000,0,0,-2,0,393,121,801,0,1,1,1,1,3,24,-38,2089,0,0,0,0,0,0,0,0,161,160,158,176,17,12,12,13,NaN,NaN,NaN,NaN,NaN,-0.018188515794267855,-0.011486345103146094,6.283185290045482,1,-3,-2,0,0,-2,0,0,-1,-3
4,16016885,1,0,-3,0,0,0,0,-2,0,0,0,1,1,-3,1000,0,0,-2,0,393,121,801,0,0,1,1,0,1,26,-41,2085,0,0,0,0,0,0,0,0,169,163,158,178,17,12,12,13,1,0,0,1,1,-0.018925142404903044,-0.011976450157809163,6.283167960799707,1,-2,-3,0,0,-2,0,0,0,-3
8,16017880,0,-1,-4,0,0,0,-2,-2,0,0,0,1,1,-3,1000,0,0,-2,0,393,121,801,1,1,1,3,1,-1,20,-38,2087,0,0,0,0,0,0,0,0,181,176,158,185,17,12,12,13,1,0,0,1,1,-0.018673579674954078,-0.011164957677663722,6.283150921081853,-2,-3,-4,0,0,-2,0,-1,-1,-3
12,16018870,-2,0,-4,0,0,0,-4,-2,0,0,0,1,1,-3,1000,0,0,-2,0,393,121,801,2,1,1,3,0,-3,21,-29,2081,0,0,0,0,0,0,0,0,197,189,158,183,17,12,12,13,1,0,0,1,1,-0.017462757179372193,-0.010882965753215035,6.2831339245805555,-6,-2,-4,0,0,-2,0,-2,-1,-3
16,16019862,-2,0,-3,0,0,0,-5,0,0,0,0,1,1,-3,1000,0,0,-2,0,393,121,801,2,0,-1,3,0,-6,21,-22,2081,0,0,0,0,0,0,0,0,200,189,158,173,17,12,12,13,1,0,0,1,1,-0.016054555400486618,-0.010724492666680028,6.28315118829871,-7,0,-3,0,0,-2,0,-2,0,-1
20,16020855,-2,0,-2,0,0,0,-5,0,0,0,0,1,1,-1,1000,0,0,-2,0,393,121,802,2,0,-3,1,-1,-4,26,-23,2076,0,0,0,0,0,0,0,0,193,184,158,163,17,12,12,13,1,0,0,1,1,-0.015195327637224204,-0.011025103521393067,0.00001784251341963028,-7,0,-2,0,0,-2,0,-2,0,1
24,16021847,-2,1,0,0,0,0,-4,1,0,0,0,1,1,-1,1000,0,0,-1,0,393,121,802,2,0,-3,0,1,-3,23,-31,2080,0,0,0,0,0,0,0,0,189,182,166,158,17,12,12,13,1,0,0,1,1,-0.015123222585880303,-0.011030210162750558,0.00006977946262498591,-6,2,0,0,0,-1,0,-2,0,2
28,16022840,-1,0,2,0,0,0,-1,1,0,0,0,0,1,-4,1000,0,0,-1,0,393,121,802,1,0,-4,-2,0,-1,27,-36,2075,0,0,0,0,0,0,0,0,170,173,170,158,17,12,12,13,1,0,0,1,1,-0.015386175929832553,-0.01127917438224819,0.0001391097828875587,-2,1,2,0,0,-1,0,-1,0,3
32,16023832,0,1,2,0,0,0,2,2,0,0,0,0,1,-4,1000,0,0,-1,0,393,121,802,0,0,-3,-2,0,2,27,-36,2075,0,0,0,0,0,0,0,0,160,159,177,158,17,12,12,13,1,0,0,1,1,-0.015604427641069176,-0.01147286460976419,0.00019105529749996464,2,3,2,0,0,-1,0,0,0,2
