"Product","Blackbox flight data recorder by Nicholas Sherlock"
"firmwareType",3
"firmware","2026.6"
"firmwarePatch",0
"firmwareVersion","2026.6.0"
"Firmware revision","Betaflight 2026.6.0-alpha (norevision) STM32G47X"
"Firmware date","Jan 13 2026 18:54:04"
"deviceUID","003a00253334500920383253"
"Board information","BEFH BETAFPVG473"
"Log start datetime","0000-01-01T00:00:00.000+00:00"
"Craft name","APERTURE"
"frameIntervalI",128
"frameIntervalPNum",1
"frameIntervalPDenom",4
"maxthrottle",2000
"gyroScale",1.7453292519943295e-8
"motorOutput","158,2047"
"acc_1G",2048
"vbatscale",110
"vbatmincellvoltage",310
"vbatwarningcellvoltage",330
"vbatmaxcellvoltage",430
"vbatref",375
"currentMeterOffset",-600
"currentMeterScale",750
"looptime",125
"gyro_sync_denom",1
"pid_process_denom",2
"thrMid",50
"thrExpo",0
"tpa_mode",1
"tpa_rate",65
"tpa_breakpoint",1350
"tpa_low_rate",20
"tpa_low_breakpoint",1050
"tpa_low_always",0
"mixer_type","LEGACY"
"rc_rates","30,30,30"
"rc_expo","50,50,50"
"rates","75,75,75"
"rate_limits","1998,1998,1998"
"rollPID","45,80,30,40,120"
"pitchPID","47,84,34,46,125"
"yawPID","45,80,0,0,120"
"levelPID","50,75,75"
"magPID","40,,"
"d_max_gain",37
"d_max_advance",20
"dterm_filter_type",0
"dterm_lpf_hz",75
"dterm_lpf_dyn_hz","75,150"
"dterm_lpf_dyn_expo",5
"dterm_filter2_type",0
"dterm_lpf2_hz",150
"yaw_lpf_hz",100
"dterm_notch_hz",0
"dterm_notch_cutoff",0
"itermWindupPointPercent",80
"iterm_relax",1
"iterm_relax_type",1
"iterm_relax_cutoff",15
"pidAtMinThrottle",1
"anti_gravity_gain",80
"anti_gravity_cutoff_hz",5
"anti_gravity_p_gain",100
"abs_control_gain",0
"use_integrated_yaw",0
"ff_transition",0
"ff_averaging",1
"ff_smooth_factor",65
"ff_jitter_factor",7
"ff_boost",15
"ff_max_rate_limit",90
"yawRateAccelLimit",0
"rateAccelLimit",0
"pidSumLimit",500
"pidSumLimitYaw",400
"deadband",0
"yaw_deadband",0
"gyro_lpf",0
"gyro_soft_type",0
"gyro_lowpass_hz",0
"gyro_lowpass_dyn_hz","250,500"
"gyro_lowpass_dyn_expo",5
"gyro_soft2_type",0
"gyro_lowpass2_hz",500
"gyro_notch_hz","0,0"
"gyro_notch_cutoff","0,0"
"gyro_enabled_bitmask",1
"dyn_notch_max_hz",600
"dyn_notch_count",3
"dyn_notch_q",300
"dyn_notch_min_hz",100
"dshot_bidir",1
"motor_poles",14
"gyro_rpm_notch_harmonics",3
"gyro_rpm_notch_q",500
"gyro_rpm_notch_min",100
"rpm_filter_fade_range_hz",50
"rpm_notch_lpf",150
"acc_lpf_hz",2500
"acc_hardware",0
"gyro_cal_on_first_arm",0
"airmode_activate_throttle",25
"serialrx_provider",9
"unsynced_fast_pwm",0
"fast_pwm_protocol",6
"motor_pwm_rate",480
"motor_idle",550
"debug_mode",100
"features",272892936
"rc_smoothing_mode",1
"rc_smoothing_auto_factor_setpoint",30
"rc_smoothing_auto_factor_throttle",30
"rc_smoothing_setpoint_hz",0
"rc_smoothing_throttle_hz",0
"rc_smoothing_debug_axis",0
"rc_smoothing_active_cutoffs_ff_sp_thr","186,186"
"rc_smoothing_rx_smoothed",502
"rates_type",3
"fields_disabled_mask",33024
"blackbox_high_resolution",0
"vbat_sag_compensation",0
"dynamic_idle_min_rpm",0
"dyn_idle_p_gain",50
"dyn_idle_i_gain",50
"dyn_idle_d_gain",50
"dyn_idle_max_increase",150
"simplified_pids_mode",2
"simplified_master_multiplier",100
"simplified_i_gain",100
"simplified_d_gain",100
"simplified_pi_gain",100
"simplified_d_max_gain",100
"simplified_feedforward_gain",100
"simplified_pitch_d_gain",100
"simplified_pitch_pi_gain",100
"simplified_dterm_filter",1
"simplified_dterm_filter_multiplier",100
"simplified_gyro_filter",1
"simplified_gyro_filter_multiplier",100
"motor_output_limit",100
"throttle_limit_type",0
"throttle_limit_percent",100
"throttle_boost",5
"throttle_boost_cutoff",15
"thrust_linear",0
"loopIteration","time","axisP[0]","axisP[1]","axisP[2]","axisI[0]","axisI[1]","axisI[2]","axisD[0]","axisD[1]","axisF[0]","axisF[1]","axisF[2]","rcCommand[0]","rcCommand[1]","rcCommand[2]","rcCommand[3]","setpoint[0]","setpoint[1]","setpoint[2]","setpoint[3]","vbatLatest","amperageLatest","rssi","gyroADC[0]","gyroADC[1]","gyroADC[2]","gyroUnfilt[0]","gyroUnfilt[1]","gyroUnfilt[2]","accSmooth[0]","accSmooth[1]","accSmooth[2]","debug[0]","debug[1]","debug[2]","debug[3]","debug[4]","debug[5]","debug[6]","debug[7]","motor[0]","motor[1]","motor[2]","motor[3]","eRPM[0]","eRPM[1]","eRPM[2]","eRPM[3]","flightModeFlags","stateFlags","failsafePhase","rxSignalReceived","rxFlightChannelsValid","heading[0]","heading[1]","heading[2]","axisSum[0]","axisSum[1]","axisSum[2]","rcCommands[0]","rcCommands[1]","rcCommands[2]","rcCommands[3]","axisError[0]","axisError[1]","axisError[2]"
0,6329499,2,-1,-2,0,0,0,2,-3,0,1,0,0,1,-1,1000,0,1,-1,0,374,49,717,-1,1,0,-1,2,-2,103,-33,2066,0,0,0,0,0,0,0,9000,158,162,168,185,14,12,13,13,NaN,NaN,NaN,NaN,NaN,-0.015971536283928476,-0.04980720582686892,2.7909052846553095e-10,4,-3,-2,0,1,-1,0,1,0,-1
4,6330490,0,-1,-1,0,0,0,0,-3,0,0,0,1,0,-1,1000,0,1,-1,0,374,49,717,0,1,-1,2,3,-4,104,-25,2063,0,0,0,0,0,0,0,9000,161,174,158,177,14,12,13,13,1,0,0,1,1,-0.01404401958378653,-0.05007805821870383,0.000017559681276146932,0,-4,-1,0,1,-1,0,0,0,0
8,6331487,1,-2,0,0,0,0,0,-4,0,0,0,1,0,-1,1000,0,0,0,0,374,49,717,0,2,-2,2,1,-7,110,-19,2060,0,0,0,0,0,0,0,9000,158,185,162,184,14,12,13,13,1,0,0,1,1,-0.012435573174212332,-0.05114465416379605,0.000052811314896317185,1,-6,0,0,0,0,0,0,-2,2
12,6332475,-1,-2,2,0,0,0,-3,-3,0,0,0,1,1,-1,1000,0,0,0,0,374,49,717,1,1,-4,3,-1,-6,115,-19,2055,0,0,0,0,0,0,0,9000,165,193,158,168,14,12,13,13,1,0,0,1,1,-0.01162281305895429,-0.05232104322451828,0.00012203977062430482,-4,-5,2,0,0,0,0,-1,-1,4
16,6333467,0,0,4,0,0,0,-3,0,0,0,0,1,1,-1,1000,0,0,0,0,374,49,717,0,1,-4,0,-2,-1,116,-27,2050,0,0,0,0,0,0,0,9000,166,184,170,158,14,12,13,13,1,0,0,1,1,-0.01192904550139499,-0.0531470425749101,0.0001916208256451668,-3,0,4,0,0,0,0,0,-1,4
20,6334458,-2,1,4,0,0,0,-4,3,0,0,0,1,1,-1,1000,0,0,0,0,374,49,717,2,0,-3,1,-2,4,115,-34,2051,0,0,0,0,0,0,0,9000,194,194,191,158,14,12,13,13,1,0,0,1,1,-0.012673194466058581,-0.05362434316681858,0.00024365086474187336,-6,4,4,0,0,0,0,-2,0,3
24,6335453,0,2,3,0,0,0,-2,5,0,0,0,1,1,-1,1000,0,0,0,0,372,144,717,1,-1,-1,-1,0,6,114,-42,2055,0,0,0,0,0,0,0,9000,193,179,197,158,14,12,13,13,1,0,0,1,1,-0.013770885666520374,-0.05389520017509291,0.00026089758133451824,-2,7,3,0,0,0,0,-1,1,1
28,6336442,-1,1,1,0,0,0,-2,5,0,0,0,1,1,-1,1000,0,0,0,0,372,144,717,1,0,1,-1,0,6,113,-45,2060,0,0,0,0,0,0,0,9000,190,173,186,158,14,12,13,13,1,0,0,1,1,-0.014772646472106897,-0.0540073931052739,0.0002436814045365665,-3,6,1,0,0,0,0,-1,0,-1
32,6337437,1,2,-1,0,0,0,1,4,0,0,0,1,1,-1,1000,0,0,0,0,372,144,717,0,-1,3,-2,-2,4,113,-45,2060,0,0,0,0,0,0,0,9000,185,158,192,171,14,12,13,13,1,0,0,1,1,-0.015566738682477684,-0.054109505428342045,0.00019129573183640503,2,6,-1,0,0,0,0,0,1,-3
