"Product","Blackbox flight data recorder by Nicholas Sherlock"
"firmwareType",3
"firmware","2026.6"
"firmwarePatch",0
"firmwareVersion","2026.6.0"
"Firmware revision","Betaflight 2026.6.0-alpha (norevision) STM32G47X"
"Firmware date","Jan 11 2026 10:56:20"
"deviceUID","003a00253334500920383253"
"Board information","BEFH BETAFPVG473"
"Log start datetime","0000-01-01T00:00:00.000+00:00"
"Craft name","APERTURE"
"frameIntervalI",128
"frameIntervalPNum",1
"frameIntervalPDenom",4
"maxthrottle",2000
"gyroScale",1.7453292519943295e-8
"motorOutput","158,2047"
"acc_1G",2048
"vbatscale",110
"vbatmincellvoltage",310
"vbatwarningcellvoltage",330
"vbatmaxcellvoltage",430
"vbatref",364
"currentMeterOffset",-600
"currentMeterScale",750
"looptime",125
"gyro_sync_denom",1
"pid_process_denom",2
"thrMid",50
"thrExpo",0
"tpa_mode",1
"tpa_rate",65
"tpa_breakpoint",1350
"tpa_low_rate",20
"tpa_low_breakpoint",1050
"tpa_low_always",0
"mixer_type","LEGACY"
"rc_rates","30,30,30"
"rc_expo","50,50,50"
"rates","75,75,75"
"rate_limits","1998,1998,1998"
"rollPID","45,80,30,40,120"
"pitchPID","47,84,34,46,125"
"yawPID","45,80,0,0,120"
"levelPID","50,75,75"
"magPID","40,,"
"d_max_gain",37
"d_max_advance",20
"dterm_filter_type",0
"dterm_lpf_hz",75
"dterm_lpf_dyn_hz","75,150"
"dterm_lpf_dyn_expo",5
"dterm_filter2_type",0
"dterm_lpf2_hz",150
"yaw_lpf_hz",100
"dterm_notch_hz",0
"dterm_notch_cutoff",0
"itermWindupPointPercent",80
"iterm_relax",1
"iterm_relax_type",1
"iterm_relax_cutoff",15
"pidAtMinThrottle",1
"anti_gravity_gain",80
"anti_gravity_cutoff_hz",5
"anti_gravity_p_gain",100
"abs_control_gain",0
"use_integrated_yaw",0
"ff_transition",0
"ff_averaging",1
"ff_smooth_factor",65
"ff_jitter_factor",7
"ff_boost",15
"ff_max_rate_limit",90
"yawRateAccelLimit",0
"rateAccelLimit",0
"pidSumLimit",500
"pidSumLimitYaw",400
"deadband",0
"yaw_deadband",0
"gyro_lpf",0
"gyro_soft_type",0
"gyro_lowpass_hz",0
"gyro_lowpass_dyn_hz","250,500"
"gyro_lowpass_dyn_expo",5
"gyro_soft2_type",0
"gyro_lowpass2_hz",500
"gyro_notch_hz","0,0"
"gyro_notch_cutoff","0,0"
"gyro_enabled_bitmask",1
"dyn_notch_max_hz",600
"dyn_notch_count",3
"dyn_notch_q",300
"dyn_notch_min_hz",100
"dshot_bidir",1
"motor_poles",14
"gyro_rpm_notch_harmonics",3
"gyro_rpm_notch_q",500
"gyro_rpm_notch_min",100
"rpm_filter_fade_range_hz",50
"rpm_notch_lpf",150
"acc_lpf_hz",2500
"acc_hardware",0
"gyro_cal_on_first_arm",0
"airmode_activate_throttle",25
"serialrx_provider",9
"unsynced_fast_pwm",0
"fast_pwm_protocol",6
"motor_pwm_rate",480
"motor_idle",550
"debug_mode",100
"features",272892936
"rc_smoothing_mode",1
"rc_smoothing_auto_factor_setpoint",30
"rc_smoothing_auto_factor_throttle",30
"rc_smoothing_setpoint_hz",0
"rc_smoothing_throttle_hz",0
"rc_smoothing_debug_axis",0
"rc_smoothing_active_cutoffs_ff_sp_thr","93,93"
"rc_smoothing_rx_smoothed",250
"rates_type",3
"fields_disabled_mask",33024
"blackbox_high_resolution",0
"vbat_sag_compensation",0
"dynamic_idle_min_rpm",0
"dyn_idle_p_gain",50
"dyn_idle_i_gain",50
"dyn_idle_d_gain",50
"dyn_idle_max_increase",150
"simplified_pids_mode",2
"simplified_master_multiplier",100
"simplified_i_gain",100
"simplified_d_gain",100
"simplified_pi_gain",100
"simplified_d_max_gain",100
"simplified_feedforward_gain",100
"simplified_pitch_d_gain",100
"simplified_pitch_pi_gain",100
"simplified_dterm_filter",1
"simplified_dterm_filter_multiplier",100
"simplified_gyro_filter",1
"simplified_gyro_filter_multiplier",100
"motor_output_limit",100
"throttle_limit_type",0
"throttle_limit_percent",100
"throttle_boost",5
"throttle_boost_cutoff",15
"thrust_linear",0
"loopIteration","time","axisP[0]","axisP[1]","axisP[2]","axisI[0]","axisI[1]","axisI[2]","axisD[0]","axisD[1]","axisF[0]","axisF[1]","axisF[2]","rcCommand[0]","rcCommand[1]","rcCommand[2]","rcCommand[3]","setpoint[0]","setpoint[1]","setpoint[2]","setpoint[3]","vbatLatest","amperageLatest","rssi","gyroADC[0]","gyroADC[1]","gyroADC[2]","gyroUnfilt[0]","gyroUnfilt[1]","gyroUnfilt[2]","accSmooth[0]","accSmooth[1]","accSmooth[2]","debug[0]","debug[1]","debug[2]","debug[3]","debug[4]","debug[5]","debug[6]","debug[7]","motor[0]","motor[1]","motor[2]","motor[3]","eRPM[0]","eRPM[1]","eRPM[2]","eRPM[3]","flightModeFlags","stateFlags","failsafePhase","rxSignalReceived","rxFlightChannelsValid","heading[0]","heading[1]","heading[2]","axisSum[0]","axisSum[1]","axisSum[2]","rcCommands[0]","rcCommands[1]","rcCommands[2]","rcCommands[3]","axisError[0]","axisError[1]","axisError[2]"
0,6298570,0,2,-2,0,0,0,-1,1,0,0,0,1,1,-1,1000,0,0,-1,0,375,217,718,0,-1,1,-3,0,2,137,-140,2081,0,0,0,0,0,0,0,0,176,158,165,161,12,12,12,12,NaN,NaN,NaN,NaN,NaN,-0.06717412766274612,-0.06559103305365364,6.283185288554078,-1,3,-2,0,0,-1,0,0,1,-2
4,6299580,1,1,-2,0,0,0,0,1,0,0,0,1,1,-1,1000,0,0,-1,0,372,217,718,0,0,1,0,1,1,138,-135,2087,0,0,0,0,0,0,0,0,173,158,170,171,12,12,12,12,1,0,0,1,1,-0.0658828991494088,-0.06574040643580215,6.2831676609137,1,2,-2,0,0,-1,0,0,0,-2
8,6300641,2,1,-2,0,0,0,1,0,0,0,0,1,1,-1,1000,0,0,-1,0,372,217,718,-1,0,1,-3,-1,-1,139,-123,2097,0,0,0,0,0,0,0,0,171,158,173,176,12,12,12,12,1,0,0,1,1,-0.06345101320121288,-0.06585217184131086,6.283149137200323,3,1,-2,0,0,-1,0,1,0,-2
12,6301646,3,1,-2,0,0,0,4,-1,0,0,0,1,1,-1,1000,0,0,-1,0,372,217,718,-2,0,0,0,1,-3,137,-110,2096,0,0,0,0,0,0,0,0,164,158,184,191,12,12,12,12,1,0,0,1,1,-0.06070961087302182,-0.06568416207787162,6.2831491314092265,7,0,-2,0,0,-1,0,2,0,-1
16,6302652,3,1,-1,0,0,0,4,-1,0,0,0,1,1,-1,1000,0,0,0,0,372,217,718,-2,0,-1,-5,-1,-4,134,-106,2098,0,0,0,0,0,0,0,0,161,158,185,188,12,12,12,12,1,0,0,1,1,-0.058679157335822005,-0.06528699243250337,6.283166693144407,7,0,-1,0,0,0,0,2,0,1
20,6303656,5,0,0,0,0,0,6,-1,0,0,0,1,1,-1,1000,0,0,0,0,372,217,718,-3,0,-2,0,2,-3,132,-109,2092,0,0,0,0,0,0,0,0,158,162,201,202,12,12,12,12,1,0,0,1,1,-0.0576128535390181,-0.0648943833476919,0.00001644711828152623,11,-1,0,0,0,0,0,3,0,2
24,6304664,3,0,1,0,0,0,3,-2,0,0,0,1,1,-1,1000,0,0,0,0,372,217,718,-1,0,-3,-2,0,0,129,-122,2092,0,0,0,0,0,0,0,0,158,169,185,185,12,12,12,12,1,0,0,1,1,-0.057716677562075,-0.06440700920497343,0.00006924684804143766,6,-2,1,0,0,0,0,1,0,3
28,6305666,3,0,2,0,0,0,1,-2,0,0,0,1,1,-1,1000,0,0,0,0,372,217,718,-1,1,-2,3,3,3,132,-132,2089,0,0,0,0,0,0,0,0,158,175,181,182,12,12,12,12,1,0,0,1,1,-0.058406700724675666,-0.06421423855225601,0.00010525518806936418,4,-2,2,0,0,0,0,1,-1,2
32,6306750,1,-1,1,0,0,0,-3,-3,0,0,0,1,1,-1,1000,0,0,0,0,372,217,718,0,1,0,1,0,4,142,-140,2088,0,0,0,0,0,0,0,0,158,177,158,166,12,12,12,12,1,0,0,1,1,-0.05936121004176941,-0.06459302419276242,0.0001063934671714506,-2,-4,1,0,0,0,0,0,-1,0
36,6307760,0,0,0,0,0,0,-4,-1,0,0,0,1,1,-1,1000,0,0,0,0,372,217,718,0,0,2,2,0,4,148,-145,2080,0,0,0,0,0,0,0,0,172,177,158,164,12,12,12,12,1,0,0,1,1,-0.060390387920788414,-0.06522072193062338,0.00007116241920446242,-4,-1,0,0,0,0,0,0,0,-2
